,title,sub_title,brand,color_breif,fullPrice,currentPrice,country,availability,publish_date,created_date,discount_amount,asof_date
687,Nike Air Zoom Victory,Athletics Distance Spikes,Nike,Hyper Pink/Laser Orange/Black,224.95,224.95,GB,True,2023-01-19T08:00:00.000Z,2023-04-13T11:33:57.792Z,0.0,2023-04-16
688,Nike Air Max 90 GTX,Men's Shoes,Nike Sportswear,Anthracite/Obsidian/Cool Grey/Pure Platinum,152.95,152.95,GB,True,2022-12-16T08:00:00.000Z,2023-04-13T14:02:26.425Z,0.0,2023-04-16
689,Nike Blazer Low '77 Jumbo SE,Men's Shoes,Nike Sportswear,Light Smoke Grey/Photon Dust/Anthracite/Sail,89.95,89.95,GB,True,2023-04-13T07:00:00.000Z,2023-04-13T12:25:41.825Z,0.0,2023-04-16
690,Nike Air Max 97,Men's Shoes,Nike Sportswear,Iron Grey/White/Black/Yellow Strike,169.95,169.95,GB,True,2022-11-28T08:00:00.000Z,2023-04-13T16:19:50.213Z,0.0,2023-04-16
691,Jordan Break,Slides,Jordan,Black/White,29.95,26.97,GB,True,2020-01-01T08:00:00.000Z,2023-04-07T15:14:57.370Z,2.9800000000000004,2023-04-16
692,Nike ZoomX Dragonfly,Athletics Distance Spikes,Nike,Hyper Pink/Laser Orange/Black,159.95,159.95,GB,True,2023-02-14T08:00:00.000Z,2023-04-06T05:39:29.055Z,0.0,2023-04-16
693,Nike Air Trainer 1,Men's Shoes,Nike Sportswear,Dark Pony/Coconut Milk/Sail/Medium Soft Pink,114.95,114.95,GB,True,2023-02-09T00:00:00.000Z,2023-04-12T14:34:15.050Z,0.0,2023-04-16
694,Nike SB Nyjah 3,Skate Shoes,Nike,Black/Black/Summit White/White,99.95,59.97,GB,True,2022-12-15T08:00:00.000Z,2023-04-10T15:33:24.922Z,39.980000000000004,2023-04-16
695,Nike Air Force 1 Low Retro,Men's Shoes,Nike Sportswear,White/White/White,114.95,114.95,GB,True,2023-03-24T09:36:00.000Z,2023-04-11T15:40:43.894Z,0.0,2023-04-16
696,Nike Free Run 5.0 Next Nature Premium,Men's Road Running Shoes,Nike,Sail/Fuchsia Dream/Sand Drift/Ale Brown,114.95,114.95,GB,True,2023-02-02T08:00:00.000Z,2023-04-14T22:31:25.098Z,0.0,2023-04-16
697,NikeCourt Zoom Pro,Men's Hard Court Tennis Shoes,Nike,Black/White,89.95,44.97,GB,True,2022-04-04T07:00:00.000Z,2023-04-06T05:59:03.710Z,44.980000000000004,2023-04-16
698,Air Jordan 1 Low SE Craft,Men's Shoes,Jordan,Taupe Haze/Celestial Gold/Fossil Stone/Mint Foam,114.95,114.95,GB,True,2023-01-23T15:00:00.000Z,2023-04-15T18:28:05.579Z,0.0,2023-04-16
699,Nike Zoom Mercurial Vapor 15 Pro TF,Turf Football Shoes,Nike,White/Pink Blast/Baltic Blue,114.95,114.95,GB,True,2023-01-19T08:00:00.000Z,2023-04-06T06:00:42.916Z,0.0,2023-04-16
700,Nike React Infinity 3 By You,Custom Men's Road Running Shoes,NIKEiD,White/Black/White/Multi-Colour,179.95,179.95,GB,True,2023-03-13T16:00:00.000Z,2023-04-06T06:53:30.413Z,0.0,2023-04-16
701,Roshe G Next Nature,Men's Golf Shoes,Nike,Ocean Bliss/Mineral Teal/Citron Tint/White,89.95,89.95,GB,True,2023-01-23T08:00:00.000Z,2023-04-13T12:51:10.082Z,0.0,2023-04-16
702,Nike Air Max 95,Men's Shoes,Nike Sportswear,Iron Grey/Volt/Black/White,169.95,169.95,GB,True,2022-12-21T08:00:00.000Z,2023-04-13T16:12:39.248Z,0.0,2023-04-16
703,Nike Pegasus Trail 4 GORE-TEX,Men's Waterproof Trail-Running Shoes,Nike,Diffused Taupe/Dark Pony/Sail/Picante Red,144.95,144.95,GB,True,2023-04-13T07:00:00.000Z,2023-04-15T17:51:37.653Z,0.0,2023-04-16
704,Nike Zegama,Men's Trail-Running Shoes,Nike,Mineral Teal/Wolf Grey/Racer Blue/Obsidian,144.95,115.97,GB,True,2022-12-16T08:00:00.000Z,2023-04-16T02:43:41.243Z,28.97999999999999,2023-04-16
705,Jordan Series Mid,Men's Shoes,Jordan,Sail/White/Gum Light Brown/Black,89.95,62.97,GB,True,2023-01-03T08:00:00.000Z,2023-04-12T14:42:02.441Z,26.980000000000004,2023-04-16
706,Nike Dunk High 85,Men's Shoes,Nike Sportswear,Summit White/University Red/Coconut Milk/Barely Rose,124.95,124.95,GB,True,2022-09-20T14:45:00.000Z,2023-04-06T06:25:06.281Z,0.0,2023-04-16
707,Nike Zoom Mamba 6,Athletics Distance Spikes,Nike,White/Metallic Silver/Black,124.95,124.95,GB,True,2023-02-06T08:00:00.000Z,2023-04-06T06:26:31.498Z,0.0,2023-04-16
708,Nike Air Force 1 Low Retro,Men's Shoes,Nike Sportswear,White/Gum Yellow/Metallic Gold/Pink,134.95,80.97,GB,True,2022-09-27T11:23:00.000Z,2023-04-11T22:21:58.092Z,53.97999999999999,2023-04-16
709,Nike Air Max SYSTM,Men's Shoes,Nike Sportswear,Black/White/University Red,99.95,69.97,GB,True,2022-12-16T08:00:00.000Z,2023-04-14T23:23:32.570Z,29.980000000000004,2023-04-16
